,Name,,,,,,,,
512,Indian Statistical Institute,,,,,,,,
513,Post-Graduate Institute of Medical Education & Research,,,,,,,,
514,National Institute of Pharmeutical Education & Research,,,,,,,,
515,Indian Institute of Technology Ropar,,,,,,,,
516,Indian Institute of Technology,,,,,,,,
517,Indian Institute of Technology,,,,,,,,
518,National Institute of Technology,,,,,,,,
519,Indian Institute of Technology,,,,,,,,
520,Indian Institute of Technology,,,,,,,,
521,Alliance University,,,,,,,,
522,Apeejay Stya University,,,,,,,,
523,Azim Premji University,,,,,,,,
524,Baddi University of Emerging Sciences & Technology,,,,,,,,
525,Centurion  University  of Technolgy and Management,,,,,,,,
526,Chitkara  University,,,,,,,,
527,CMJ University,,,,,,,,
528,Dr K N Modi University,,,,,,,,
529,G L A University,,,,,,,,
530,IFTM University,,,,,,,,
531,Invertis University,,,,,,,,
532,Maharishi Markandeshwar University,,,,,,,,
533,Navrachana University,,,,,,,,
534,Noida International University,,,,,,,,
535,Pacific Academy of Higher Education  & Research (PAHER),,,,,,,,
536,dsdsds,,,,,,,,
537,South Asian University,,,,,,,,
538,University College of Medical Sciences,,,,,,,,
539,Damodaram Sanjivayya National Law University,,,,,,,,
540,Jawaharlal Nehru Architecture and Fine Arts University,,,,,,,,
541,Ayush and Health Sciences University of Chhattisgarh,,,,,,,,
542,Gujarat Forensic Sciences University,,,,,,,,
543,Lala Lajpat Rai University of Veterinary & Animal Sciences ,,,,,,,,
544,YMCA University of Science & Technology,,,,,,,,
545,Himachal Pradesh Technical University,,,,,,,,
546,National University of Study & Research in Law,,,,,,,,
547,Rani Channamma University,,,,,,,,
548,Vijayanagara Sri Krishnadevaraya University,,,,,,,,
549,Kerala University of Fisheries & Ocean Studies ,,,,,,,,
550,Kerala Veterinary & Animal Sciences University,,,,,,,,
551,Kerala University of Health Sciences,,,,,,,,
552,Madhya Pradesh Pashu Chikitsa Vigyan Vishwavidyalaya,,,,,,,,
553,Maharaja Ganga Singh University,,,,,,,,
554,Mahamaya Technical University,,,,,,,,
555,Khwaja Moinuddin Chishti Urdu  Arabi-Farsi University,,,,,,,,
556,Presidency University,,,,,,,,
557,Sidho-Kanho-Birsha University,,,,,,,,
558,Uttarakhand Open University,,,,,,,,
559,Maharishi Markandeshwar University,,,,,,,,
560,Sri Sai University,,,,,,,,
561,Amity University,,,,,,,,
562,ITM University,,,,,,,,
563,Mahatama Gandhi University,,,,,,,,
564,University of Technology & Management,,,,,,,,
565,Sri Guru Granth Sahib World University,,,,,,,,
566,Raffles University,,,,,,,,
567,Homoeopathy University,,,,,,,,
